Date,BCHAIN/DIFF,BCHAIN/AVBLS,BCHAIN/HRATE,BCHAIN/TOTBC
2009-10-10,1.0,0.000205788431288,3.92711130074e-06,1237150.0
2009-10-11,1.0,0.000215756756756756,3.08203671704e-06,1243550.0
2009-10-12,1.0,0.000205787957883,3.08203671703704e-06,1246100.0
2009-10-13,1.0,0.000205755233765,2.78377509926e-06,1248900.0
2009-10-14,1.0,0.000215623188405797,4.22537291852e-06,1253150.0
2009-10-15,1.0,0.000343733567458,4.22537291851852e-06,1256400.0
2009-10-16,1.0,0.000205837596547,2.73406482963e-06,1259150.0
2009-10-17,1.0,0.000215842105263158,3.1814572563e-06,1259450.0
2009-10-18,1.0,0.000205483099427,3.1814572562963e-06,1267300.0
2009-10-19,1.0,0.000205546885997,5.5178399288899995e-06,1272850.0
2009-10-20,1.0,0.000338,4.12595237926e-06,1277000.0
2009-10-21,1.0,0.000281223030977,4.12595237925926e-06,1281300.0
2009-10-22,1.0,0.000205489410751,4.32479345778e-06,1282000.0
2009-10-23,1.0,0.000215426966292135,3.7282702222199996e-06,1289400.0
2009-10-24,1.0,0.000217398552045,3.72827022222222e-06,1293050.0
2009-10-25,1.0,0.00020580291748,3.23116752593e-06,1296300.0
2009-10-26,1.0,0.000215802816901408,3.28087779556e-06,1299600.0
2009-10-27,1.0,0.000205650925636,3.28087779555556e-06,1302800.0
2009-10-28,1.0,0.000228366851807,2.48551348148e-06,1305300.0
2009-10-29,1.0,0.000321711111111111,3.03232644741e-06,1304200.0
2009-10-30,1.0,0.000205315483941,3.03232644740741e-06,1310600.0
2009-10-31,1.0,0.000205357869466,1.49130808889e-06,1312100.0
2009-11-01,1.0,0.00021528,1.64043889778e-06,1313750.0
2009-11-02,1.0,0.000205659029777,1.64043889777778e-06,1316600.0
2009-11-03,1.0,0.000205378378591,3.08203671704e-06,1319700.0
2009-11-04,1.0,0.000294111111111111,3.1814572563e-06,1322900.0
2009-11-05,1.0,0.00020558493478,3.1814572562963e-06,1325350.0
2009-11-06,1.0,0.000205642298648,3.77798049185e-06,1326250.0
2009-11-07,1.0,0.000215666666666666,3.47971887407e-06,1332650.0
2009-11-08,1.0,0.000205670870267,3.47971887407407e-06,1335900.0
2009-11-09,1.0,0.000205442939006,3.5294291437e-06,1339450.0
2009-11-10,1.0,0.000215384615384615,3.4300086044400002e-06,1342900.0
2009-11-11,1.0,0.000205380575997,3.43000860444444e-06,1346400.0
2009-11-12,1.0,0.000230530330113,3.47971887407e-06,1349900.0
2009-11-13,1.0,0.00023845,4.12595237926e-06,1348250.0
2009-11-14,1.0,0.000205596288045,4.12595237925926e-06,1358850.0
2009-11-15,1.0,0.000205698013306,4.97102696296e-06,1363850.0
2009-11-16,1.0,0.000215680412371134,4.5236345363000005e-06,1368400.0
2009-11-17,1.0,0.000205559066579,4.5236345362963e-06,1372350.0
2009-11-18,1.0,0.000205366578821,3.6288496829599995e-06,1370250.0
2009-11-19,1.0,0.0003752,4.07624210963e-06,1380100.0
2009-11-20,1.0,0.000205721173968,4.07624210962963e-06,1383950.0
2009-11-21,1.0,0.000205698013306,4.97102696296e-06,1388950.0
2009-11-22,1.0,0.000215707547169811,4.77218588444e-06,1393750.0
2009-11-23,1.0,0.000205619662416,4.77218588444444e-06,1392400.0
2009-11-24,1.0,0.000205657061409,4.22537291852e-06,1403100.0
2009-11-25,1.0,0.000215644444444444,3.8774010311099995e-06,1407000.0
2009-11-26,1.0,0.000205523173014,3.87740103111111e-06,1410750.0
2009-11-27,1.0,0.000205529041779,3.8774010311099995e-06,1414650.0
2009-11-28,1.0,0.00021556338028169,2.88319563852e-06,1414400.0
2009-11-29,1.0,0.000205748790019,2.88319563851852e-06,1421250.0
2009-11-30,1.0,0.000205820257013,3.28087779556e-06,1424550.0
2009-12-01,1.0,0.000483780821917808,4.8716064237e-06,1429450.0
2009-12-02,1.0,0.000205780478085,4.8716064237037e-06,1433700.0
2009-12-03,1.0,0.000205604397521,2.43580321185e-06,1436150.0
2009-12-04,1.0,0.000215444444444444,2.58493402074e-06,1438750.0
2009-12-05,1.0,0.000229662940616,2.58493402074074e-06,1436700.0
2009-12-06,1.0,0.0002056182699,4.67276534519e-06,1448700.0
2009-12-07,1.0,0.000215642857142857,5.91552208593e-06,1454650.0
2009-12-08,1.0,0.000244313098015,5.91552208592593e-06,1459350.0
2009-12-09,1.0,0.000212687890506,5.120157771849999e-06,1458750.0
2009-12-10,1.0,0.000215644230769231,6.2137837036999994e-06,1470750.0
2009-12-11,1.0,0.000279237728308,6.2137837037037e-06,1475800.0
2009-12-12,1.0,0.000205663534311,5.16986804148e-06,1481000.0
2009-12-13,1.0,0.000215754385964912,5.36870912e-06,1480750.0
2009-12-14,1.0,0.000213639489536,5.36870912e-06,1492200.0
2009-12-15,1.0,0.00022376084528,5.91552208593e-06,1498150.0
2009-12-16,1.0,0.000230213235294118,8.003353410369999e-06,1506200.0
2009-12-17,1.0,0.000206532478333,8.00335341037037e-06,1502750.0
2009-12-18,1.0,0.000206500291824,1.1135100397e-05,1527400.0
2009-12-19,1.0,0.000216717171717172,8.69929718519e-06,1525000.0
2009-12-20,1.0,0.000206493438884,8.69929718518519e-06,1545500.0
2009-12-21,1.0,0.00020580542715,7.5559609837e-06,1547000.0
2009-12-22,1.0,0.000215722222222222,8.40103556741e-06,1561550.0
2009-12-23,1.0,0.000205689006382,8.40103556740741e-06,1568750.0
2009-12-24,1.0,0.000207159929215,7.80451233185e-06,1569050.0
2009-12-25,1.0,0.000217302013422819,7.90393287111e-06,1584550.0
2009-12-26,1.0,0.000209537483531,7.90393287111111e-06,1593000.0
2009-12-27,1.0,0.000205813974574,6.8600172088900005e-06,1591100.0
2009-12-28,1.0,0.000215751824817518,8.15248421926e-06,1608100.0
2009-12-29,1.0,0.000205718553983,8.15248421925926e-06,1615900.0
2009-12-30,1.18289953431,0.000205643971761,8.82033821932e-06,1613850.0
2009-12-31,1.18289953431,0.000215695652173913,6.99746832066e-06,1629350.0
2010-01-01,1.18289953431284,0.000207981696496,6.9974683206591e-06,1635850.0
2010-01-02,1.18289953431,0.000205689412685,9.58476753166e-06,1644000.0
2010-01-03,1.18289953431,0.000215763440860215,1.11724284111e-05,1639100.0
2010-01-04,1.18289953431284,0.000205700214093,1.11724284111364e-05,1663900.0
2010-01-05,1.18289953431,0.000205734108068,9.29075625768e-06,1661200.0
2010-01-06,1.18289953431,0.000215742331288344,9.34955851248e-06,1679750.0
2010-01-07,1.18289953431284,0.000205739339193,9.34955851247729e-06,1687250.0
2010-01-08,1.18289953431,0.000205800339982,8.702733709729998e-06,1683250.0
2010-01-09,1.18289953431,0.000215827814569537,1.1231230665900002e-05,1704200.0
2010-01-10,1.18289953431284,0.000205727366658,1.12312306659318e-05,1705450.0
2010-01-11,1.30506213159,0.000348539237516,1.0769248413800003e-05,1720200.0
2010-01-12,1.30506213159,0.000372012578616352,1.02502484903e-05,1728100.0
2010-01-13,1.30506213159152,0.00020762334896,1.02502484902837e-05,1727600.0
2010-01-14,1.30506213159,0.000212199547712,8.8229987005e-06,1742800.0
2010-01-15,1.30506213159,0.000219900709219858,8.69324871961e-06,1749500.0
2010-01-16,1.30506213159152,0.00021206460348,8.69324871960773e-06,1749700.0
2010-01-17,1.30506213159,0.000205531487098,8.433748757829998e-06,1762150.0
2010-01-18,1.30506213159,0.000217328,7.72012386294e-06,1768100.0
2010-01-19,1.30506213159152,0.000205523627145,7.72012386293523e-06,1775100.0
2010-01-20,1.30506213159,0.000223952732729,1.1547748299200002e-05,1771700.0
2010-01-21,1.30506213159,0.000235234285714286,9.73124856673e-06,1791500.0
2010-01-22,1.30506213159152,0.000207061009691,9.73124856672508e-06,1799050.0
2010-01-23,1.30506213159,0.000209696539517,9.4068736145e-06,1793850.0
2010-01-24,1.34422497077,0.000216701298701299,1.3564822505200002e-05,1816450.0
2010-01-25,1.34422497077103,0.000218957957655,1.35648225052015e-05,1815950.0
